Date,Rot,VH,Team,1st,2nd,Final,Open,Close,ML,2H,,,,
311,307304,N,Grambling,28,31,72,137.5,138,115,72.5,,,,
311,307305,N,MorganState,30,47,77,1.5,5,-190,5,,,,
311,307306,N,FloridaA&M,39,36,75,136.5,142,170,76.5,,,,
311,307307,V,NCCentral,33,25,58,133.5,133,200,73.5,,,,
311,307308,H,NorfolkSt,44,43,87,5,5.5,-240,pk,,,,
311,307309,N,NewOrleansU,34,45,79,3,3,NL,3,,,,
311,307310,N,NorthwesternSt,38,44,82,153,155,NL,82,,,,
311,307311,N,Lamar,41,29,70,138,138,340,75,,,,
311,307312,N,SamHoustonSt,41,28,69,8,8.5,-410,4.5,,,,
312,811,N,Maryland,38,28,66,133,132,340,70.5,,,,
312,812,N,Michigan,40,39,79,7.5,9,-410,5,,,,
312,813,N,OhioState,49,23,87,1,1,-120,75.5,,,,
312,814,N,Purdue,31,41,78,142,140.5,100,4,,,,
312,815,N,Rutgers,28,40,68,138.5,138,330,74,,,,
312,816,N,Illinois,47,43,90,7.5,8.5,-400,0.5,,,,
312,817,N,Wisconsin,32,25,57,146,143,175,75.5,,,,
312,818,N,Iowa,26,36,62,4.5,5,-200,6,,,,
312,819,N,SouthFlorida,41,26,67,138.5,138,450,74.5,,,,
312,820,N,WichitaState,32,36,68,9,11,-600,9,,,,
312,821,N,Cincinnati,30,44,74,144.5,143.5,200,75,,,,
312,822,N,SMU,23,48,71,6,5,-240,4.5,,,,
312,823,N,Tulane,29,23,52,134,133.5,1100,70.5,,,,
312,824,N,HoustonU,33,44,77,18,18,-2500,9.5,,,,
312,825,N,CentralFlorida,28,34,62,135,135,260,73.5,,,,
312,826,N,MemphisU,32,38,70,6.5,7,-310,3.5,,,,
312,827,N,MississippiSt,19,29,48,140.5,143,310,0.5,,,,
312,828,N,Alabama,47,38,85,9,8,-370,74,,,,
312,829,N,Florida,22,44,66,131.5,134,155,1.5,,,,
312,830,N,Tennessee,31,47,78,5,3.5,-175,70.5,,,,
312,831,N,Missouri,33,31,64,148,148.5,180,79.5,,,,
312,832,N,Arkansas,32,38,70,3,5.5,-210,4,,,,
312,833,N,Mississippi,27,46,73,143,144.5,100,76,,,,
312,834,N,LSU,29,47,76,1.5,1,-120,0.5,,,,
312,835,N,UAB,34,26,60,136,134,120,71.5,,,,
312,836,N,WesternKentucky,31,33,64,1.5,2,-140,2,,,,
312,837,N,NorthTexas,24,30,54,128.5,2,-125,0.5,,,,
312,838,N,LouisianaTech,22,26,48,1,126.5,105,66,,,,
312,839,N,Ohio,43,44,87,158,155.5,135,82,,,,
312,840,N,Toledo,31,49,80,4,3,-155,5,,,,
312,841,N,Akron,28,40,74,156,152.5,160,79,,,,
312,842,N,Buffalo,33,35,81,4,4,-180,1.5,,,,
312,847,N,Georgetown,36,30,66,142,141.5,140,76,,,,
312,848,N,SetonHall,34,24,58,2,3.5,-160,3.5,,,,
312,849,N,Connecticut,26,30,56,144,143.5,105,75,,,,
312,850,N,Creighton,30,29,59,pk,2,-125,0.5,,,,
312,853,N,NorthCarolina,24,42,66,150.5,151.5,125,1.5,,,,
312,854,N,FloridaState,35,34,69,3,3,-145,79,,,,
312,855,N,OklahomaState,35,48,83,151.5,147.5,370,79,,,,
312,856,N,Baylor,30,44,74,9.5,9,-440,7.5,,,,
312,859,N,MontanaState,32,37,80,152,150.5,245,80.5,,,,
312,860,N,SouthernUtah,42,27,77,6,6,-290,1.5,,,,
312,861,N,Montana,15,35,50,147,146,250,1.5,,,,
312,862,N,E.Washington,44,34,78,7.5,7,-300,75,,,,
312,863,N,SeattleU,27,20,47,134.5,134,240,0.5,,,,
312,864,N,GrandCanyon,49,32,81,7,6.5,-280,72.5,,,,
312,865,N,NewMexicoState,32,46,78,5,6,-250,1,,,,
312,866,N,UtahValley,23,39,62,138,137.5,210,72,,,,
