Date,Rot,VH,Team,1st,2nd,Final,Open,Close,ML,2H
301,525,V,NoIllinois,45,26,71,147,143.5,160,79
301,526,H,EasternMichigan,39,36,75,5,4,-180,4
301,527,V,Depaul,33,29,62,144,140,5000,76.5
301,528,H,Villanova,51,32,83,23.5,22,-12500,8
301,529,V,Tennessee,24,45,69,148,145,700,77.5
301,530,H,Vanderbilt,43,43,86,11.5,13,-1100,3
301,531,V,Kentucky,36,52,88,2.5,4.5,-200,1.5
301,532,H,Florida,32,47,79,141,140.5,175,75.5
301,533,V,Dayton,32,53,85,141,1,-120,2
301,534,H,Richmond,37,47,84,pk,141.5,100,75.5
301,535,V,GeorgiaTech,27,26,53,137.5,138,650,72.5
301,536,H,Louisville,28,28,56,12.5,12,-1000,7
301,537,V,WakeForest,34,37,71,155,154.5,1400,81
301,538,H,Duke,35,44,79,16,16,-4000,10
301,539,V,Baylor,25,46,71,152,149,280,1
301,540,H,Oklahoma,46,27,73,7.5,7.5,-340,78.5
301,541,V,Purdue,41,40,81,4,3.5,-170,75.5
301,542,H,Nebraska,33,29,62,137.5,139,150,0.5
301,543,V,GeorgeMason,23,29,52,139,139,600,73.5
301,544,H,GeoWashington,39,35,74,14,12,-900,3
301,545,V,TexasState,28,41,69,137.5,138.5,425,75
301,546,H,UTArlington,39,36,75,10.5,9.5,-550,3
301,547,V,ArkansasState,38,42,80,137,139,900,77
301,548,H,ArkansasLR,48,41,89,15.5,14.5,-1600,5.5
301,549,V,UtahState,40,38,78,2.5,4,-185,75.5
301,550,H,AirForce,33,32,65,139,138.5,165,pk
301,551,V,IndianaU,47,34,81,154,152,180,82.5
301,552,H,Iowa,41,37,78,4,4.5,-205,5
301,553,V,Georgetown,39,48,87,144,145,150,2
301,554,H,Marquette,50,38,88,2,3.5,-170,79
301,555,V,TexasA&M,33,48,81,11,11.5,-800,7.5
301,556,H,Auburn,33,30,63,144.5,144.5,550,76.5
301,557,V,Missouri,24,47,71,156,155.5,800,81.5
301,558,H,LSU,46,34,80,13,13.5,-1400,3
301,559,V,SanDiegoState,42,41,83,1,1,-120,73
301,560,H,NewMexico,31,25,56,135.5,134,100,2.5
301,571,V,KennesawSt,34,30,64,144.5,143,265,77.5
301,572,H,FlaGulfCoast,36,38,74,6,6.5,-320,3.5
301,573,V,Lipscomb,44,36,92,159.5,159.5,105,86
301,574,H,Jacksonville,39,41,89,2.5,1.5,-125,2
301,575,V,USCUpstate,40,29,69,158.5,157.5,850,86
301,576,H,NorthFlorida,47,45,92,14.5,14,-1500,6.5
301,577,V,Stetson,41,41,82,155.5,155,475,83.5
301,578,H,NJIT,28,39,67,13,10.5,-650,9
301,581,V,Lafayette,27,43,70,138,136,475,73.5
301,582,H,Navy,33,45,78,11,10.5,-650,4
301,583,V,HolyCross,43,29,72,135.5,132.5,180,74.5
301,584,H,LoyolaMaryland,43,24,67,4.5,5,-210,2.5
302,723,V,Fordham,45,33,78,149,149.5,175,80.5
302,724,H,Duquesne,36,33,69,4.5,4.5,-200,5
302,725,V,TexasTech,26,42,68,143,145,475,76
302,726,H,WestVirginia,41,49,90,9,10.5,-650,3
302,727,V,MiamiFlorida,35,33,68,145,144,155,75
302,728,H,NotreDame,22,28,50,2,4,-175,6
302,729,V,Pittsburgh,26,35,61,3,5,-210,4
302,730,H,VirginiaTech,27,38,65,142,144,180,75
302,731,V,MichiganState,43,54,97,25,24.5,-20000,13.5
302,732,H,Rutgers,41,25,66,149,148.5,7500,79
302,733,V,SaintLouis,25,43,68,129.5,130.5,100,1
302,734,H,LaSalle,31,45,76,1,1,-120,70
302,735,V,Tulane,32,33,65,135,136.5,190,73
302,736,H,CentralFlorida,33,40,73,5,5,-220,3.5
302,737,V,Davidson,23,37,60,160.5,157.5,525,81
302,738,H,VaCommonwealth,34,36,70,9.5,11.5,-750,3.5
302,739,V,MississippiSt,32,46,78,147,148,180,1
302,740,H,Mississippi,44,42,86,3.5,4.5,-210,79
302,741,V,St.Josephs,28,62,90,4.5,3.5,-170,5
302,742,H,St.Bonaventure,41,57,98,151.5,151.5,150,80
302,743,V,TCU,28,26,54,130.5,134,500,74
302,744,H,KansasState,47,32,79,10,11,-700,2
302,745,V,SetonHall,28,50,78,147,148.5,210,1
302,746,H,Butler,43,42,85,4.5,5.5,-250,78.5
302,747,V,BostonCollege,35,37,72,135.5,135.5,1000,72
302,748,H,NCState,31,42,73,15.5,15,-2000,9.5
302,749,V,Wisconsin,40,22,62,9.5,10,-600,2.5
302,750,H,MinnesotaU,24,25,49,132,132,450,71.5
302,751,V,EastCarolina,26,26,52,136.5,1,-120,68
302,752,H,SouthFlorida,16,23,39,3,136,100,2.5
302,753,V,Creighton,32,34,66,144.5,146,140,76
302,754,H,Providence,28,42,70,3,3,-160,4
302,755,V,Arkansas,34,28,62,136.5,140.5,105,73.5
302,756,H,Alabama,27,34,61,3.5,1.5,-125,2.5
302,757,V,Oregon,33,43,76,2,3,-150,3
302,758,H,UCLA,38,30,68,156.5,154.5,130,81.5
302,759,V,SanJoseState,42,36,78,138,137.5,450,76
302,760,H,Wyoming,41,40,81,10,10,-600,7
302,761,V,Nevada,29,28,57,145,146,600,78
302,762,H,BoiseState,41,35,76,8,12,-900,4
302,763,V,LongBeachState,27,48,75,7,6,-250,4
302,764,H,CSFullerton,26,47,73,149,149.5,210,75
302,765,V,OregonState,33,37,70,148.5,149,235,1.5
302,766,H,USC,56,25,81,5.5,6.5,-275,80.5
302,767,V,WashingtonState,38,53,91,156,156.5,600,84
302,768,H,WashingtonU,48,51,99,12,12.5,-900,4.5
302,769,V,ColoradoState,23,50,73,149.5,148,190,2
302,770,H,FresnoState,43,44,87,6,5,-220,78
302,771,N,AustinPeay,47,45,92,157,154.5,165,84
302,772,N,TennesseeTech,35,37,72,4,4,-185,6
302,773,N,EasternIllinois,29,33,62,135.5,137.5,245,0.5
302,774,N,MurrayState,45,33,78,6,6.5,-290,74
302,781,V,MDBaltimoreCo,43,33,76,144.5,140.5,6750,77
302,782,H,StonyBrook,44,42,86,22,23.5,-17500,13.5
302,783,V,Hartford,38,30,68,147.5,148,3750,77
302,784,H,AlbanyNY,21,38,59,19,18.5,-9000,14.5
302,785,V,Maine,39,43,82,163,161,4000,87
302,786,H,Vermont,58,41,99,18.5,18,-10000,6
302,787,V,Binghamton,25,26,51,126,126,450,67
302,788,H,NewHampshire,27,29,56,9.5,10,-600,6
302,789,V,RobertMorris,19,31,50,129,131,450,69
302,790,H,Wagner,24,35,59,9.5,10,-600,5
302,791,V,St.FrancisPA,44,28,72,155.5,154,220,83.5
302,792,H,FairDickinson,40,34,74,3.5,6,-260,5.5
302,793,V,LongIsland,47,37,84,160,160,110,86
302,794,H,SacredHeart,33,43,76,2.5,2,-130,4.5
302,795,V,MountStMarys,24,36,60,124.5,126,155,0.5
302,796,H,St.FrancisNY,34,17,51,3.5,3.5,-175,67
303,509,V,LouisianaTech,39,58,97,169.5,171,210,90
303,510,H,Marshall,45,49,94,4.5,5.5,-250,1.5
303,511,V,Illinois,21,34,55,142,143,1000,73.5
303,512,H,Maryland,31,50,81,15,15.5,-2000,6.5
303,513,V,Massachusetts,12,38,50,141,139.5,450,72.5
303,514,H,RhodeIsland,34,34,68,10.5,10,-600,1
303,515,V,Georgia,39,35,74,136.5,137.5,270,74.5
303,516,H,SouthCarolina,34,38,72,6.5,7,-330,6.5
303,517,V,MiddleTennSt,38,38,76,7,7.5,-340,3.5
303,518,H,FlaAtlantic,34,25,59,137,138,280,75.5
303,519,V,MemphisU,30,32,62,145,146,150,1
303,520,H,Temple,39,33,72,4.5,3.5,-170,77.5
303,521,V,UAB,41,36,77,5,5.5,-240,76
303,522,H,FloridaIntl,28,32,60,143,142,200,pk
303,523,V,ArkansasLR,30,33,63,11,9.5,-550,6.5
303,524,H,AppalachianSt,30,39,69,141.5,139,425,73.5
303,525,V,GeorgiaSouthern,28,48,76,141,142,350,75.5
303,526,H,ULMonroe,33,50,83,8.5,8.5,-420,4
303,527,V,CharlotteU,38,50,88,1.5,1.5,-125,85.5
303,528,H,Rice,34,41,75,166.5,164,105,pk
303,529,V,OldDominion,30,46,76,7,7,-310,3
303,530,H,NorthTexas,24,46,70,132.5,134,260,70
303,531,V,SouthAlabama,41,38,79,146,149,900,82
303,532,H,UTArlington,57,35,92,14.5,14.5,-1600,4.5
303,533,V,GeorgiaState,31,41,72,135,134.5,400,71.5
303,534,H,ULLafayette,23,46,69,7.5,9.5,-500,7.5
303,535,V,Troy,28,29,57,127.5,132.5,230,71
303,536,H,TexasState,35,43,78,7.5,6.5,-270,2
303,537,V,Northwestern,42,29,71,127,2.5,-140,71.5
303,538,H,PennState,27,34,61,1,131,120,2.5
303,539,V,Connecticut,20,34,54,135,132.5,180,1.5
303,540,H,SMU,36,44,80,5.5,4.5,-210,70.5
303,541,V,California,29,32,61,144.5,147,250,76.5
303,542,H,Arizona,25,39,64,5.5,6.5,-300,6.5
303,543,V,Cincinnati,20,36,56,137,2.5,-150,4.5
303,544,H,HoustonU,33,36,69,pk,135,130,71
303,545,V,SouthernMiss,24,36,60,130.5,132.5,600,71
303,546,H,WesternKentucky,39,36,75,12,12,-900,3
303,547,V,CalRiverside,35,20,55,133.5,132.5,450,73.5
303,548,H,CalSantaBarb,40,41,81,11.5,10,-600,4.5
303,549,V,Hawaii,25,42,67,7.5,8.5,-400,7.5
303,550,H,UCDavis,36,29,65,130,132.5,330,71
303,551,V,Stanford,22,42,64,139,141.5,125,2.5
303,552,H,ArizonaState,37,37,74,3,2.5,-145,74.5
303,553,V,CalPolySLO,28,34,62,142,142,340,74.5
303,554,H,CalIrvine,31,41,72,10,8.5,-410,4.5
303,555,N,Bradley,29,37,66,113,117.5,475,64.5
303,556,N,LoyolaChicago,29,45,74,10.5,10.5,-650,6.5
303,557,N,Drake,30,37,67,140.5,137,120,2
303,558,N,MissouriSt,40,29,69,2,2.5,-140,74
303,559,V,IdahoState,35,40,75,162.5,162.5,525,84
303,560,H,E.Washington,32,39,71,9.5,11.5,-750,8.5
303,561,V,No.Colorado,28,35,63,160,158,260,82.5
303,562,H,MontanaState,42,39,81,7,7,-310,0.5
303,563,V,NorthDakota,26,20,46,142.5,142.5,290,75.5
303,564,H,Montana,36,35,71,8,7.5,-350,1.5
303,565,V,WeberState,31,27,58,1.5,3.5,-170,2
303,566,H,IdahoU,30,32,62,128,130.5,150,70
303,567,V,NorthernArizona,29,52,81,156,156,525,81
303,568,H,PortlandState,39,50,89,11.5,11,-750,4
303,569,V,SouthernUtah,22,39,63,149,150,400,76.5
303,570,H,SacramentoState,25,36,69,10.5,9.5,-500,5
303,571,N,Quinnipiac,32,25,57,126,130.5,210,70
303,572,N,Rider,30,30,60,5,5.5,-250,5
303,573,N,Niagara,36,35,97,139.5,138.5,330,75.5
303,574,N,Canisius,40,31,102,4.5,8.5,-400,4.5
303,575,N,Marist,29,34,63,143,145.5,130,3
303,576,N,Manhattan,46,35,81,3,3,-150,78
303,577,N,AustinPeay,27,47,74,144,144,260,76
303,578,N,TennesseeState,38,34,72,4.5,7,-310,1.5
303,579,N,MurrayState,36,30,66,131.5,131,120,71
303,580,N,MoreheadState,29,46,75,1,2.5,-140,3
